,count,opass,centroid_lon,centroid_lat,VEL_N_noTI,VEL_E_noTI,RMSE_VEL_N_noTI,RMSE_VEL_E_noTI,VEL_N_noT,VEL_E_noT,RMSE_VEL_N_noT,RMSE_VEL_E_noT,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N
98,3,"['D', 'A', 'D']",74.68369999999999,38.7049,8.680253022464292,20.643338076135542,0.8729928153388613,4.919357830207379,10.689565574623238,16.02312770251003,0.8735050380870375,4.922224910173934,1.868,28.9012,0.0275862284482677,0.2093044035211236
99,3,"['A', 'D', 'A']",76.93369999999999,29.7049,20.72624877959137,4.104242146183784,2.666473322356329,14.617262977985826,20.00564810322827,5.224338166938002,2.6936115389161337,14.766527263455467,34.7396,35.239200000000004,0.4237326200958968,0.1004771947591427
100,3,"['A', 'A', 'D']",76.93369999999999,31.9549,17.29479326268312,23.129845996825157,2.2610505979164235,12.564067091684404,19.08649176511189,12.121133797561852,2.261096758978351,12.56684986153012,13.188400000000003,30.8284,2.543405984108711,16.435615970608872
101,2,"['A', 'D']",76.93369999999999,34.2049,17.621031165863336,59.863629033711405,1.533311966360235,8.575148213362734,21.60954113553944,39.13462700043132,1.4974598181463676,8.375611684399345,1.202,28.9948,0.0108474267301827,0.2093044035211236
102,3,"['A', 'D', 'D']",79.18369999999999,27.4549,23.62491633433935,8.68878632057408,1.993178648707536,10.862516959340352,29.96250705110546,-24.894973536790275,2.382835409973696,12.98822466342371,35.026,36.9352,0.3886956821645091,0.0832165848854673
103,3,"['D', 'A', 'D']",79.18369999999999,29.7049,13.111503344422156,33.675326050092444,2.4742435108604024,13.641859599527209,11.920408862515488,37.297536661997405,2.6564109956917794,14.646805520032522,21.1912,33.19520000000001,3.5750199533242704,17.25903466786792
104,2,"['A', 'D']",79.18369999999999,31.9549,14.473319383731807,35.94206480843231,2.050327774053471,11.382414871059098,13.487306671115077,41.2377894630749,1.902074226709355,10.557443241668938,0.568,28.974,0.0193649167310366,0.2093044035211236
105,2,"['A', 'D']",79.18369999999999,34.2049,16.06439339256041,49.97839991465269,1.3769911018978236,7.687529322877309,19.76584111855471,32.79476289396729,1.3546847845136374,7.562856467709055,0.568,29.0128,0.0073711147958315,0.2093044035211236
106,2,"['A', 'D']",79.18369999999999,36.4549,10.556529892238512,46.83001339603427,1.4205205721257643,7.96787291889816,13.945033145254856,31.76692417654468,1.4116192872256403,7.91796181045342,0.568,29.0084,0.0102794292967397,0.2093044035211236
107,4,"['A', 'A', 'D', 'D']",81.43369999999999,27.4549,9.02128638087865,-0.8994994078086799,3.167189693482044,17.262811787988998,11.323826607153771,-14.079725166928457,3.106781189602768,16.932229499193234,33.834,37.235200000000006,1.790791538212456,7.130274071403801
108,2,"['A', 'D']",81.43369999999999,29.7049,9.76110757594073,10.26415947813885,1.6222133352161288,8.956151077582561,16.153320656639174,-24.83577471187769,1.665924442254064,9.197247356533929,6.925200000000001,30.4784,3.2169857527401846,14.434173027922316
109,2,"['A', 'D']",81.43369999999999,31.9549,12.635828516597003,55.7389032513298,1.5691011766723997,8.725061202543403,17.97420707769137,27.1987483585449,1.5603163231416717,8.676195520813263,-0.102,28.9784,0.0190787840283392,0.2093044035211236
